date,% Silica Feed,Amina Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Ave_Flot_Air_Flow,Ave_Flot_Level,% Iron Concentrate,% Silica Concentrate,Purity
2017-03-10 1:00:00,16.98,578.910104,250.1759884,295.096,265.483316,448.7972023,66.91,1.31,1
2017-03-10 2:00:00,16.98,537.2196611,250.0333167,295.096,265.0033019,450.1652889,67.06,1.11,1
2017-03-10 3:00:00,16.98,591.9067444,250.04635,295.096,265.1012259,450.8852667,66.97,1.27,1
2017-03-10 4:00:00,16.98,593.1701056,250.1208611,295.096,265.1418778,489.4246583,66.75,1.36,1
2017-03-10 5:00:00,16.98,619.7108056,250.0135,295.096,265.0091,549.7213639,66.63,1.34,1
2017-03-10 6:00:00,16.98,621.8785389,250.0753833,295.096,265.0232259,549.5091917,66.85,1.15,1
2017-03-10 7:00:00,17.4,618.1863667,250.0668444,295.096,265.1711704,550.8871167,65.76,2.76,1
2017-03-10 8:00:00,17.4,595.6809833,250.0090278,295.096,264.9703741,549.7071639,65.89,2.65,1
2017-03-10 9:00:00,17.4,592.3834469,250.0137933,295.096,265.0533873,549.8130978,66.68,1.73,1
2017-03-10 10:00:00,17.4,582.9060944,250.0462389,295.096,265.0796685,549.23435,66.52,1.81,1
2017-03-10 11:00:00,17.4,518.7408556,250.0917611,295.096,265.1878148,550.4039889,65.55,2.83,1
2017-03-10 12:00:00,17.4,559.8309,250.0451278,295.096,265.116887,549.8280028,65.55,2.83,1
2017-03-10 13:00:00,17.4,543.6981778,250.1187111,295.096,265.1366407,549.7373222,66.74,1.5,1
2017-03-10 14:00:00,17.4,530.3331611,249.9782167,295.096,265.0151278,549.5877028,66.26,1.94,1
2017-03-10 15:00:00,17.4,517.8753575,250.1421117,295.096,265.0695196,549.9457933,67.6,1.09,1
2017-03-10 16:00:00,17.16,523.7905,250.01385,295.096,265.1780667,549.8343806,67.3,1.51,1
2017-03-10 17:00:00,17.16,556.6337821,250.0803017,295.096,265.0619609,550.2629218,66.3,1.96,1
2017-03-10 18:00:00,17.16,525.4858944,250.0630722,295.096,264.9573796,549.6156639,66.21,3.57,0
2017-03-10 19:00:00,17.16,469.2108715,250.0709274,295.096,265.1194562,549.3087374,67.24,1.12,1
2017-03-10 20:00:00,17.16,443.2697751,250.0601893,295.096,265.0315957,524.0604127,66.23,1.49,1
2017-03-10 21:00:00,17.16,431.1602416,250.0086573,295.096,265.0248146,480.4973638,66.42,1.47,1
2017-03-10 22:00:00,17.16,434.955521,250.0284611,295.096,264.9627685,548.5888263,67.16,1.16,1
2017-03-10 23:00:00,17.16,358.6763226,250.0791613,295.096,265.0864796,549.6886839,67.17,1.15,1
2017-03-11 0:00:00,17.16,319.3154127,250.0505556,295.096,265.1165317,549.2604008,67.03,1.23,1
2017-03-11 1:00:00,8.25,366.525038,250.0506392,295.096,265.1262658,550.3760728,67.44,1.17,1
2017-03-11 2:00:00,8.25,357.2127159,250.0610739,295.096,264.965786,551.7606534,66.4,2.5,1
2017-03-11 3:00:00,8.25,331.5470596,249.5937881,295.096,264.7485475,551.4486722,65.12,4.14,0
2017-03-11 4:00:00,8.25,319.2341302,250.0420592,295.096,265.058215,549.8769882,64.26,3.34,0
2017-03-11 5:00:00,8.25,330.7443158,249.9567076,295.096,264.9878382,550.1345117,64.08,4.08,0
2017-03-11 7:00:00,8.98,363.7257329,250.1162595,295.096,265.0661878,559.2824568,63.33,4.96,0
2017-03-11 8:00:00,8.98,478.9559826,250.0909884,295.096,265.0807461,549.1265349,63.33,4.96,0
2017-03-11 9:00:00,8.98,541.4624989,250.0112994,295.096,265.0229406,542.3198789,65.15,2.97,1
2017-03-11 10:00:00,8.98,559.5588833,250.0731444,295.096,265.2137093,395.1927703,65.65,2.67,1
2017-03-11 11:00:00,8.98,512.8435921,249.8304079,295.096,265.0119035,483.6361283,66.47,1.59,1
2017-03-11 12:00:00,8.98,447.2567888,249.9922857,295.096,265.0963126,636.1630202,66.21,1.52,1
2017-03-11 13:00:00,8.98,499.8792353,250.1160735,295.096,265.0542353,652.2039017,66.41,1.82,1
2017-03-11 14:00:00,8.98,385.1406296,250.1036593,295.096,265.1287383,672.9398332,64.92,2.98,1
2017-03-11 15:00:00,8.98,477.8982963,250.0231914,295.096,265.0675165,681.3572859,66.16,1.99,1
2017-03-11 16:00:00,9.09,512.6098621,249.994069,295.096,265.096251,480.2753601,65.58,2.36,1
2017-03-11 17:00:00,9.09,540.9539441,250.1286121,295.096,264.9495838,454.9334939,66.21,1.83,1
2017-03-11 18:00:00,9.09,558.0600944,250.0278444,295.096,265.0332037,449.7446028,66.21,1.83,1
2017-03-11 19:00:00,9.09,568.9276056,249.9780611,295.096,264.9086481,449.9973,65.5,3.42,0
2017-03-11 20:00:00,9.09,570.8372737,250.0459832,295.096,265.0735177,486.583498,64.565,3.865,0
2017-03-11 21:00:00,9.09,554.1030722,250.0215278,295.096,264.98555,549.9437528,64.565,3.865,0
2017-03-11 22:00:00,9.09,551.3229167,250.0782778,295.096,265.0308222,458.8585028,62.95,4.97,0
2017-03-11 23:00:00,9.09,540.1496994,250.0549306,295.096,265.0977958,449.681448,62.83,5.06,0
2017-03-12 0:00:00,9.09,551.2976609,250.0292874,295.096,264.9262797,449.6756523,64.72,3.51,0
2017-03-12 1:00:00,11.46,546.4749209,249.7131921,295.096,264.5167156,377.3715699,64.29,3.62,0
2017-03-12 2:00:00,11.46,553.9433876,250.1470056,295.096,265.2343633,410.3827384,63.62,4.92,0
2017-03-12 3:00:00,11.46,561.6618889,250.0131056,295.096,265.0918278,450.3180833,65.87,2.13,1
2017-03-12 4:00:00,11.46,558.8256,250.0716722,295.096,265.1300259,450.0331806,65.16,2.77,1
2017-03-12 5:00:00,11.46,548.8467889,250.0836111,295.096,265.0899815,449.9700139,65.87,2.03,1
2017-03-12 6:00:00,11.46,497.0278802,250.410509,295.096,265.5004311,457.4818683,65.92,2.12,1
2017-03-12 7:00:00,11.46,519.5774104,250.0922463,295.096,265.0506493,450.9744851,65.9,2.4,1
2017-03-12 8:00:00,11.46,512.4519032,250.1358968,295.096,265.0158581,449.7727742,65.78,2.43,1
2017-03-12 9:00:00,11.46,497.4821965,249.9899538,295.096,265.0551618,450.6007832,65.15,2.99,1
2017-03-12 10:00:00,11.46,445.9396145,250.0956687,295.096,265.1105141,451.5647952,62.95,5.04,0
2017-03-12 11:00:00,11.46,308.9748095,250.0302917,295.096,265.1436667,646.9904554,63.83,4.71,0
2017-03-12 12:00:00,11.46,435.4185,249.953875,295.096,265.0418634,344.5824575,64.09627993,4.266200123,0
2017-03-12 13:00:00,11.46,513.3238765,250.0362294,295.096,265.0176843,574.0588269,64.4,3.76,0
2017-03-12 14:00:00,11.46,529.7314052,250.058366,295.096,265.0565163,435.3246473,64.1,3.55,0
2017-03-12 15:00:00,11.46,536.7365,250.0487722,295.096,265.1059185,434.3166292,64.29,3.06,0
2017-03-12 16:00:00,11.2,544.2283667,250.0628833,295.096,265.0472907,499.9401361,66.55,1.44,1
